YEAR,MO,DY,HR,GHI,DNI,Tamb,PS,PSC,Vwind
2024,1,1,0,0,0,12.83,99.19,101.73,4.74
2024,1,1,1,0,0,12.23,99.17,101.72,4.63
2024,1,1,2,0,0,11.74,99.15,101.7,4.66
2024,1,1,3,0,0,11.3,99.13,101.68,4.67
2024,1,1,4,0,0,10.88,99.15,101.71,4.62
2024,1,1,5,0,0,10.48,99.2,101.77,4.6
2024,1,1,6,0,0,10.13,99.27,101.84,4.6
2024,1,1,7,41.97,24.49,10.98,99.34,101.91,4.32
2024,1,1,8,182.15,198.59,13.07,99.39,101.94,3.09
2024,1,1,9,326.25,326.69,16.35,99.43,101.95,2.72
2024,1,1,10,461.17,433.29,20.78,99.4,101.88,3.28
2024,1,1,11,553.97,520.14,23.72,99.31,101.77,2.75
2024,1,1,12,612.75,624.96,25.24,99.17,101.61,2.36
2024,1,1,13,553.55,599.2,26.04,99.06,101.49,2.25
2024,1,1,14,432.8,533.45,26.16,99,101.42,2.31
2024,1,1,15,268.52,403.36,25.57,98.97,101.4,2.6
2024,1,1,16,96.03,167.22,22.84,98.98,101.43,3.33
2024,1,1,17,3.83,0.78,18.53,99.02,101.51,4.68
2024,1,1,18,0,0,17.47,99.09,101.59,5.75
2024,1,1,19,0,0,16.75,99.15,101.66,6.23
2024,1,1,20,0,0,15.78,99.2,101.72,6.16
2024,1,1,21,0,0,14.58,99.22,101.75,5.83
2024,1,1,22,0,0,13.52,99.23,101.77,5.56
2024,1,1,23,0,0,12.59,99.22,101.76,5.24
2024,1,2,0,0,0,11.85,99.2,101.75,5.07
2024,1,2,1,0,0,11.34,99.15,101.71,5.07
2024,1,2,2,0,0,10.9,99.11,101.67,5.04
2024,1,2,3,0,0,10.47,99.09,101.65,4.88
2024,1,2,4,0,0,10.08,99.1,101.67,4.75
2024,1,2,5,0,0,9.75,99.15,101.73,4.63
2024,1,2,6,0,0,9.43,99.22,101.8,4.44
2024,1,2,7,44.47,49.48,10.47,99.29,101.86,3.96
2024,1,2,8,195.57,277.44,12.73,99.33,101.88,2.72
2024,1,2,9,358.6,462.2,16.19,99.35,101.87,2.16
2024,1,2,10,520.25,569.5,21.3,99.29,101.77,2.22
2024,1,2,11,611.42,640.6,24.02,99.17,101.62,1.68
2024,1,2,12,649.72,752.72,25.28,99.04,101.47,1.44
2024,1,2,13,588.97,702.62,25.84,98.93,101.36,1.64
2024,1,2,14,464.48,614.96,25.84,98.88,101.3,2.13
2024,1,2,15,292.67,446.45,25.19,98.87,101.3,2.59
2024,1,2,16,108.25,211.81,22.95,98.89,101.34,3.4
2024,1,2,17,4.6,2.47,18.58,98.94,101.43,4.74
2024,1,2,18,0,0,17.4,99.02,101.52,5.6
2024,1,2,19,0,0,16.5,99.08,101.59,5.94
2024,1,2,20,0,0,15.39,99.1,101.62,5.91
2024,1,2,21,0,0,14.21,99.1,101.63,5.68
2024,1,2,22,0,0,13.1,99.09,101.63,5.4
2024,1,2,23,0,0,12.16,99.06,101.61,5.17
2024,1,3,0,0,0,11.39,99.05,101.6,4.99
2024,1,3,1,0,0,10.74,99.04,101.6,4.84
2024,1,3,2,0,0,10.19,99.03,101.6,4.7
2024,1,3,3,0,0,9.77,99.03,101.6,4.65
2024,1,3,4,0,0,9.43,99.06,101.63,4.63
2024,1,3,5,0,0,9.14,99.12,101.7,4.58
2024,1,3,6,0,0,8.89,99.2,101.78,4.51
2024,1,3,7,51.4,73.13,10.39,99.27,101.84,4.18
2024,1,3,8,223.45,364.9,13.3,99.34,101.88,2.86
2024,1,3,9,390.2,558.01,17.24,99.37,101.88,2.52
2024,1,3,10,543.05,632.17,21.51,99.32,101.79,2.7
2024,1,3,11,638.78,702.18,23.26,99.19,101.65,2.33
2024,1,3,12,663.38,759.64,24.26,99.06,101.5,2.18
2024,1,3,13,611.12,763.66,24.79,98.94,101.38,2.18
2024,1,3,14,477.55,665.32,24.82,98.87,101.3,2.29
2024,1,3,15,300.08,507.28,24.22,98.85,101.28,2.56
2024,1,3,16,111.62,230.44,21.87,98.9,101.35,3.26
2024,1,3,17,4.7,1.37,17.25,98.97,101.47,4.64
2024,1,3,18,0,0,16.1,99.05,101.57,5.76
2024,1,3,19,0,0,15.28,99.1,101.62,6.23
2024,1,3,20,0,0,14.22,99.13,101.66,6.22
2024,1,3,21,0,0,13.02,99.17,101.71,5.94
2024,1,3,22,0,0,12.05,99.15,101.7,5.81
2024,1,3,23,0,0,11.06,99.16,101.72,5.52
2024,1,4,0,0,0,10.14,99.19,101.76,5.21
2024,1,4,1,0,0,9.39,99.21,101.78,5.05
2024,1,4,2,0,0,8.81,99.2,101.78,5
2024,1,4,3,0,0,8.17,99.21,101.79,4.87
2024,1,4,4,0,0,7.67,99.22,101.81,4.92
2024,1,4,5,0,0,7.23,99.24,101.84,4.93
2024,1,4,6,0,0,6.62,99.31,101.91,4.73
2024,1,4,7,47.58,37.45,7.45,99.37,101.97,4.27
2024,1,4,8,203.77,268.49,9.83,99.44,102.02,3.04
2024,1,4,9,360.98,407.55,13.9,99.47,102.02,3.26
2024,1,4,10,505.23,471.14,18.21,99.42,101.92,3.34
2024,1,4,11,595.72,542.17,20.53,99.31,101.79,2.72
2024,1,4,12,672.38,788.58,21.82,99.23,101.69,2.19
2024,1,4,13,621.55,780.18,22.46,99.13,101.59,2.29
2024,1,4,14,495.5,707.89,22.51,99.03,101.49,2.79
2024,1,4,15,318.12,560.79,21.84,98.98,101.44,3.24
2024,1,4,16,121.45,283.32,19.71,99,101.48,3.89
2024,1,4,17,5.32,2.57,15.07,99.05,101.57,5.17
2024,1,4,18,0,0,13.86,99.12,101.65,5.99
2024,1,4,19,0,0,12.96,99.17,101.71,6.13
2024,1,4,20,0,0,11.89,99.2,101.75,5.95
2024,1,4,21,0,0,10.79,99.22,101.78,5.68
2024,1,4,22,0,0,9.76,99.22,101.8,5.43
2024,1,4,23,0,0,8.83,99.22,101.8,5.15
2024,1,5,0,0,0,7.99,99.23,101.82,4.85
2024,1,5,1,0,0,7.27,99.24,101.83,4.63
2024,1,5,2,0,0,6.68,99.2,101.8,4.55
2024,1,5,3,0,0,6.17,99.15,101.76,4.46
2024,1,5,4,0,0,5.74,99.16,101.77,4.39
2024,1,5,5,0,0,5.45,99.19,101.81,4.42
2024,1,5,6,0,0,5.25,99.23,101.84,4.45
2024,1,5,7,48.75,40.81,6.94,99.28,101.88,4.12
2024,1,5,8,210.82,283.9,9.97,99.35,101.93,2.69
2024,1,5,9,371.62,435.09,14.11,99.42,101.96,2.22
2024,1,5,10,506.6,518.93,18.56,99.38,101.88,2.09
2024,1,5,11,591.05,571.91,20.7,99.25,101.73,1.79
2024,1,5,12,676.62,863.47,22.16,99.13,101.6,1.73
2024,1,5,13,630.67,837.19,23.12,99.05,101.5,1.97
2024,1,5,14,503.95,765.89,23.28,98.99,101.44,2.32
2024,1,5,15,326.38,622.49,22.61,98.97,101.43,2.72
2024,1,5,16,127.53,348.32,20.08,99.01,101.49,3.51
2024,1,5,17,5.75,4.82,15.61,99.09,101.61,4.79
2024,1,5,18,0,0,14.54,99.2,101.73,5.71
2024,1,5,19,0,0,13.85,99.28,101.82,6.08
2024,1,5,20,0,0,12.89,99.35,101.9,5.93
2024,1,5,21,0,0,11.88,99.37,101.92,5.66
2024,1,5,22,0,0,10.94,99.36,101.92,5.36
